Date : 2022-10-07 18:52:40
Directory : /Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src
Total : 72 files,  2203 codes, 439 comments, 418 blanks, all 3060 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| store/middleware                                                                                                               |          1 |         10 |          0 |          3 |         13 |
| store/user                                                                                                                     |          5 |        176 |          7 |         35 |        218 |
| utils                                                                                                                          |          3 |        132 |          0 |         35 |        167 |
| utils/firebase                                                                                                                 |          1 |        105 |          0 |         26 |        131 |
| utils/reducer                                                                                                                  |          1 |         23 |          0 |          8 |         31 |
| utils/stripe                                                                                                                   |          1 |          4 |          0 |          1 |          5 |
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                       | language   | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/App.js                                                     | JavaScript |         19 |          9 |          2 |         30 |
| /Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/App.test.js                                                | JavaScript |          7 |          0 |          2 |          9 |
| /Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/assets/crown.svg                                           | XML        |         16 |          1 |          0 |         17 |
| /Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/assets/shopping-bag.svg                                    | XML        |         52 |          1 |          1 |         54 |
| /Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/components/buttons/button.component.jsx                    | JavaScript |         26 |          0 |          5 |         31 |
| /Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/components/buttons/button.styles.jsx                       | JavaScript |         63 |         41 |         11 |        115 |
| /Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/components/cart-dropdown/cart-dropdown.component.jsx       | JavaScript |         39 |          0 |          3 |         42 |
| /Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/components/cart-dropdown/cart-dropdown.styles.jsx          | JavaScript |         34 |         26 |          8 |         68 |
| /Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/components/cart-icon/cart-icon.component.jsx               | JavaScript |         19 |          0 |          4 |         23 |
| /Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/components/cart-icon/cart-icon.styles.jsx                  | JavaScript |         21 |         19 |          6 |         46 |
| /Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/components/cart-items/cart-item.component.jsx              | JavaScript |         16 |          0 |          4 |         20 |
| /Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/components/cart-items/cart-items.styles.jsx                | JavaScript |         21 |         20 |          9 |         50 |
| /Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/components/category-preview/category-preview.component.jsx | JavaScript |         29 |          0 |          3 |         32 |
| /Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/components/category-preview/category-preview.styles.jsx    | JavaScript |         16 |         15 |          7 |         38 |
| /Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/components/checkout-item/checkout-item.component.jsx       | JavaScript |         41 |          0 |          3 |         44 |
| /Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/components/checkout-item/checkout-item.styles.jsx          | JavaScript |         37 |         36 |         16 |         89 |
| /Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/components/directory-item/directory-item.component.jsx     | JavaScript |         21 |          0 |          5 |         26 |
| /Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/components/directory-item/directory-item.styles.jsx        | JavaScript |         57 |         58 |         22 |        137 |
| /Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/components/directory/directory.component.jsx               | JavaScript |         44 |          0 |          4 |         48 |
| /Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/components/directory/directory.styles.jsx                  | JavaScript |          7 |          6 |          3 |         16 |
| /Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/components/form-input/form-input.components.jsx            | JavaScript |         14 |          0 |          3 |         17 |
| /Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/components/form-input/form-input.styles.jsx                | JavaScript |         43 |         40 |         16 |         99 |
| /Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/components/payment-form/payment-form.component.jsx         | JavaScript |         63 |          0 |          8 |         71 |
| /Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/components/payment-form/payment-form.styles.jsx            | JavaScript |         17 |          0 |          4 |         21 |
| /Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/components/product-card/product-card.component.jsx         | JavaScript |         29 |          0 |          6 |         35 |
| /Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/components/product-card/product-card.styles.jsx            | JavaScript |         46 |         44 |         17 |        107 |
| /Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/components/sign-in-form/sign-in-form.component.jsx         | JavaScript |         78 |          0 |         11 |         89 |
| /Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/components/sign-in-form/sign-in-form.styles.jsx            | JavaScript |         13 |         12 |          6 |         31 |
| /Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/components/sign-up-form/sign-up-form.component.jsx         | JavaScript |         88 |          0 |          7 |         95 |
| /Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/components/sign-up-form/sign-up-form.styles.jsx            | JavaScript |          9 |          8 |          5 |         22 |
| /Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/components/spinner/spinner.component.jsx                   | JavaScript |          7 |          0 |          3 |         10 |
| /Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/components/spinner/spinner.styles.jsx                      | JavaScript |         28 |          0 |          3 |         31 |
| /Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/index.css                                                  | CSS        |         12 |          0 |          2 |         14 |
| /Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/index.js                                                   | JavaScript |         24 |         17 |          4 |         45 |
| /Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/index.scss                                                 | SCSS       |         20 |          0 |          3 |         23 |
| /Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/logo.svg                                                   | XML        |          1 |          0 |          0 |          1 |
| /Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/reportWebVitals.js                                         | JavaScript |         12 |          0 |          2 |         14 |
| /Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/routes/authentication/authentication.component.jsx         | JavaScript |         12 |          0 |          3 |         15 |
| /Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/routes/authentication/authentication.styles.jsx            | JavaScript |          7 |          6 |          2 |         15 |
| /Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/routes/categories-preview/categories-preview.component.jsx | JavaScript |         27 |          0 |          3 |         30 |
| /Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/routes/category/category.component.jsx                     | JavaScript |         37 |          0 |          5 |         42 |
| /Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/routes/category/category.styles.jsx                        | JavaScript |         13 |         12 |          3 |         28 |
| /Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/routes/checkout/checkout.component.jsx                     | JavaScript |         44 |          0 |          5 |         49 |
| /Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/routes/checkout/checkout.styles.jsx                        | JavaScript |         28 |         27 |         11 |         66 |
| /Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/routes/home/home.component.jsx                             | JavaScript |         11 |          0 |          3 |         14 |
| /Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/routes/navigation/navigation.component.jsx                 | JavaScript |         48 |          0 |          6 |         54 |
| /Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/routes/navigation/navigation.styles.jsx                    | JavaScript |         30 |         24 |         13 |         67 |
| /Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/routes/shop/shop.component.jsx                             | JavaScript |         19 |          0 |          6 |         25 |
| /Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/routes/shop/shop.styles.jsx                                | JavaScript |          7 |          6 |          3 |         16 |
| /Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/setupTests.js                                              | JavaScript |          1 |          4 |          1 |          6 |
| /Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/shop-data.js                                               | JavaScript |        238 |          0 |          1 |        239 |
| /Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/store/cart/cart.action.js                                  | JavaScript |         53 |          0 |         11 |         64 |
| /Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/store/cart/cart.reducer.js                                 | JavaScript |         22 |          0 |          4 |         26 |
| /Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/store/cart/cart.selector.js                                | JavaScript |         19 |          0 |          6 |         25 |
| /Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/store/cart/cart.types.js                                   | JavaScript |          6 |          0 |          0 |          6 |
| /Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/store/categories/category.action.ts                        | TypeScript |         28 |          0 |          8 |         36 |
| /Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/store/categories/category.reducer.ts                       | TypeScript |         38 |          0 |          5 |         43 |
| /Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/store/categories/category.saga.js                          | JavaScript |         21 |          0 |          5 |         26 |
| /Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/store/categories/category.selector.ts                      | TypeScript |         21 |          0 |          5 |         26 |
| /Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/store/categories/category.types.ts                         | TypeScript |         19 |          0 |          4 |         23 |
| /Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/store/middleware/logger.js                                 | JavaScript |         10 |          0 |          3 |         13 |
| /Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/store/root.reducer.js                                      | JavaScript |          9 |          0 |          1 |         10 |
| /Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/store/root.saga.js                                         | JavaScript |          6 |          0 |          2 |          8 |
| /Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/store/store.js                                             | JavaScript |         32 |          0 |         11 |         43 |
| /Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/store/user/user.action.js                                  | JavaScript |         30 |          7 |         14 |         51 |
| /Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/store/user/user.reducer.js                                 | JavaScript |         21 |          0 |          4 |         25 |
| /Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/store/user/user.saga.js                                    | JavaScript |        110 |          0 |         16 |        126 |
| /Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/store/user/user.selector.js                                | JavaScript |          1 |          0 |          0 |          1 |
| /Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/store/user/user.types.js                                   | JavaScript |         14 |          0 |          1 |         15 |
| /Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/utils/firebase/firebase.utils.jsx                          | JavaScript |        105 |          0 |         26 |        131 |
| /Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/utils/reducer/reducer.utils.ts                             | TypeScript |         23 |          0 |          8 |         31 |
| /Users/mahadhussein/Projects/React/crwn-clothing/Crown-Clothing/src/utils/stripe/stripe.utils.js                               | JavaScript |          4 |          0 |          1 |          5 |
| Total                                                                                                                          |            |      2,203 |        439 |        418 |      3,060 |
+--------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
